b1,b2,b3,b4,b5,b6,b7,b8,b9,batters_home,key,pitching,runs_scored
108.10497142857143,140.33474285714286,97.44445714285715,114.23154285714287,106.646,92.47982857142857,82.42662857142857,68.18,-20.0,0,2016/04/10/pitmlb-cinmlb-1,667.7729999999999,1
79.3494857142857,101.93251428571428,137.28028571428572,88.24754285714288,92.97719999999998,100.84457142857143,95.70394285714286,-20.0,78.8532,1,2016/04/10/pitmlb-cinmlb-1,628.371,2
92.93588571428572,100.72342857142858,118.6827142857143,152.97142857142856,94.26,105.53242857142857,83.3464,78.33045714285714,-20.0,0,2016/04/10/miamlb-wasmlb-1,618.174,2
70.62697142857142,107.06200000000001,160.44320000000005,110.736,99.72982857142857,81.21945714285714,95.09102857142858,77.25068571428572,-20.0,1,2016/04/10/miamlb-wasmlb-1,653.022,4
114.66234285714285,85.82777142857144,103.97731428571429,107.17385714285714,105.4916,92.6888,96.251,92.81714285714285,-20.0,0,2016/04/10/slnmlb-atlmlb-1,646.2900000000001,12
81.13005714285715,93.09554285714287,130.04548571428572,92.3124,91.83611428571429,74.95914285714288,76.78674285714284,68.8356,-20.0,1,2016/04/10/slnmlb-atlmlb-1,624.9126,7
104.21700000000001,96.90942857142859,114.3838,109.34117142857143,109.396,94.31528571428572,116.71605714285715,96.83462857142858,87.09314285714287,0,2016/04/10/tbamlb-balmlb-1,599.859,3
93.2872,124.06051428571428,118.88931428571428,108.15914285714285,92.35057142857143,105.21942857142857,74.23377142857143,93.3712,101.14,1,2016/04/10/tbamlb-balmlb-1,599.6214,5
107.2477142857143,116.4304,125.0064,99.64582857142858,126.99765714285715,105.70725714285715,83.93834285714286,79.15314285714284,-20.0,0,2016/04/10/houmlb-milmlb-1,629.59332,2
102.1296,87.71948571428571,116.92485714285714,105.62171428571428,80.07539999999999,70.14,60.874628571428566,-20.0,74.22828571428572,1,2016/04/10/houmlb-milmlb-1,588.34728,3
92.37154285714287,87.0447142857143,105.94502857142858,120.9336,115.874,95.71197142857143,83.42385714285714,88.40862857142857,83.32285714285712,0,2016/04/10/minmlb-kcamlb-1,635.5742399999999,3
74.36005714285714,106.99777142857144,104.97371428571428,113.25037142857144,107.63588571428572,109.67228571428569,98.8448,83.89,77.36765714285714,1,2016/04/10/minmlb-kcamlb-1,642.726,4
88.0238,87.43,119.2764,116.48857142857143,93.3428,81.38428571428571,85.17382857142857,66.5824,64.5210857142857,0,2016/04/10/texmlb-anamlb-1,697.77,1
